11.1.1.0
#HEADER
ET_UserInputEvents
ET_UserInputEvents



#METADATA
FieldName,Timestamp,InputEventSource,Data,StimType
DataType,Double,String,String,String
Unit,millisecond,,,Stimulus type
Description,iMotions timestamp,Input source i.e. Mouse or API,Serialized data,Type of stimulus
Category,Timestamp,InputEvent,Data,Slide
#DATA
RowNumber,Timestamp,InputEventSource,Data,StimType
193,19885.0488,Mouse,Id:M;X:750;Y:735,TestImage
194,19908.8573,Mouse,Id:M;X:750;Y:744,TestImage
195,19933.161599999999,Mouse,Id:M;X:750;Y:753,TestImage
196,19956.967700000001,Mouse,Id:M;X:751;Y:765,TestImage
197,19981.2719,Mouse,Id:M;X:754;Y:778,TestImage
198,20005.0798,Mouse,Id:M;X:755;Y:788,TestImage
199,20028.887900000002,Mouse,Id:M;X:757;Y:802,TestImage
200,20053.216499999999,Mouse,Id:M;X:758;Y:811,TestImage
201,20077.000199999999,Mouse,Id:M;X:759;Y:819,TestImage
202,20101.304100000001,Mouse,Id:M;X:759;Y:823,TestImage
203,20125.112799999999,Mouse,Id:M;X:759;Y:827,TestImage
204,20148.920099999999,Mouse,Id:M;X:760;Y:833,TestImage
205,20173.225600000002,Mouse,Id:M;X:762;Y:837,TestImage
206,20261.093099999998,Mouse,Id:M;X:763;Y:840,TestImage
207,20284.8995,Mouse,Id:M;X:767;Y:838,TestImage
208,20309.202799999999,Mouse,Id:M;X:778;Y:835,TestImage
209,20333.011500000001,Mouse,Id:M;X:791;Y:833,TestImage
210,20357.315299999998,Mouse,Id:M;X:806;Y:832,TestImage
211,20381.123500000002,Mouse,Id:M;X:825;Y:832,TestImage
212,20404.955900000001,Mouse,Id:M;X:839;Y:832,TestImage
213,20429.235499999999,Mouse,Id:M;X:847;Y:832,TestImage
214,20509.092199999999,Mouse,Id:M;X:851;Y:832,TestImage
215,20532.8995,Mouse,Id:M;X:854;Y:832,TestImage
216,20557.203799999999,Mouse,Id:M;X:861;Y:832,TestImage
217,20581.011399999999,Mouse,Id:M;X:876;Y:834,TestImage
218,20605.315999999999,Mouse,Id:M;X:895;Y:837,TestImage
219,20629.125499999998,Mouse,Id:M;X:912;Y:839,TestImage
220,20652.9316,Mouse,Id:M;X:919;Y:839,TestImage
221,20676.741900000001,Mouse,Id:M;X:922;Y:839,TestImage
222,20701.068200000002,Mouse,Id:M;X:923;Y:839,TestImage
223,20765.0524,Mouse,Id:M;X:924;Y:839,TestImage
224,20805.204399999999,Mouse,Id:M;X:925;Y:839,TestImage
225,20869.188099999999,Mouse,Id:M;X:926;Y:839,TestImage
226,20869.188099999999,Mouse,Id:M;X:926;Y:839;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
227,20879.632699999998,Mouse,Id:M;X:926;Y:839,TestImage
228,20957.010200000001,Mouse,Id:M;X:926;Y:839;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
229,21053.297500000001,Mouse,Id:M;X:927;Y:839,TestImage
230,21053.297500000001,Mouse,Id:M;X:927;Y:839;MouseEvent:WM_LBUTTONDBLCLK;ScrollDelta:0;Button:0,TestImage
231,21092.9781,Mouse,Id:M;X:927;Y:839;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
232,21197.138500000001,Mouse,Id:M;X:927;Y:839;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
233,21205.073899999999,Mouse,Id:M;X:927;Y:839,TestImage
234,21253.208600000002,Mouse,Id:M;X:927;Y:839;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
235,21325.212200000002,Mouse,Id:M;X:928;Y:839,TestImage
236,21373.287899999999,Mouse,Id:M;X:928;Y:839;MouseEvent:WM_LBUTTONDBLCLK;ScrollDelta:0;Button:0,TestImage
237,21445.276099999999,Mouse,Id:M;X:928;Y:839;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
238,21750.347099999999,Mouse,Id:M;X:928;Y:839;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
239,21829.1852,Mouse,Id:M;X:928;Y:839;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
240,22173.227200000001,Mouse,Id:M;X:929;Y:839,TestImage
241,22197.034599999999,Mouse,Id:M;X:933;Y:861,TestImage
242,22220.873299999999,Mouse,Id:M;X:934;Y:888,TestImage
243,22245.146199999999,Mouse,Id:M;X:934;Y:925,TestImage
244,22268.989699999998,Mouse,Id:M;X:934;Y:957,TestImage
245,22292.762699999999,Mouse,Id:M;X:936;Y:976,TestImage
246,22317.066299999999,Mouse,Id:M;X:938;Y:981,TestImage
247,22389.002400000001,Mouse,Id:M;X:938;Y:981,TestImage
248,22412.809600000001,Mouse,Id:M;X:939;Y:974,TestImage
249,22437.1427,Mouse,Id:M;X:937;Y:967,TestImage
250,22460.9794,Mouse,Id:M;X:927;Y:954,TestImage
251,22485.283100000001,Mouse,Id:M;X:918;Y:942,TestImage
252,22509.091199999999,Mouse,Id:M;X:908;Y:923,TestImage
253,22532.897700000001,Mouse,Id:M;X:905;Y:916,TestImage
254,22557.202099999999,Mouse,Id:M;X:901;Y:909,TestImage
255,22709.000400000001,Mouse,Id:M;X:901;Y:906,TestImage
256,22733.302500000002,Mouse,Id:M;X:902;Y:906,TestImage
257,22757.111400000002,Mouse,Id:M;X:909;Y:907,TestImage
258,22780.920099999999,Mouse,Id:M;X:914;Y:909,TestImage
259,22805.224200000001,Mouse,Id:M;X:917;Y:910,TestImage
260,22852.840899999999,Mouse,Id:M;X:918;Y:911,TestImage
261,23005.112499999999,Mouse,Id:M;X:918;Y:911;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
262,23085.082299999998,Mouse,Id:M;X:918;Y:911;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
263,23404.867699999999,Mouse,Id:M;X:919;Y:912,TestImage
264,23428.8982,Mouse,Id:M;X:919;Y:915,TestImage
265,23453.229299999999,Mouse,Id:M;X:918;Y:918,TestImage
266,23477.2484,Mouse,Id:M;X:914;Y:922,TestImage
267,23501.055899999999,Mouse,Id:M;X:913;Y:924,TestImage
268,23637.249199999998,Mouse,Id:M;X:911;Y:924,TestImage
269,23661.056,Mouse,Id:M;X:907;Y:913,TestImage
270,23688.3361,Mouse,Id:M;X:902;Y:899,TestImage
271,23709.191999999999,Mouse,Id:M;X:895;Y:885,TestImage
272,23732.976500000001,Mouse,Id:M;X:882;Y:864,TestImage
273,23756.7844,Mouse,Id:M;X:878;Y:858,TestImage
274,23781.089,Mouse,Id:M;X:874;Y:851,TestImage
275,23805.165400000002,Mouse,Id:M;X:870;Y:842,TestImage
276,23829.0828,Mouse,Id:M;X:866;Y:835,TestImage
277,23852.8907,Mouse,Id:M;X:861;Y:824,TestImage
278,23877.218199999999,Mouse,Id:M;X:856;Y:809,TestImage
279,23901.002799999998,Mouse,Id:M;X:851;Y:794,TestImage
280,23924.871299999999,Mouse,Id:M;X:846;Y:783,TestImage
281,23949.1152,Mouse,Id:M;X:844;Y:777,TestImage
282,23972.923299999999,Mouse,Id:M;X:842;Y:773,TestImage
283,23996.984899999999,Mouse,Id:M;X:840;Y:767,TestImage
284,24021.289700000001,Mouse,Id:M;X:838;Y:758,TestImage
285,24045.0985,Mouse,Id:M;X:837;Y:752,TestImage
286,24085.141800000001,Mouse,Id:M;X:837;Y:750,TestImage
287,24260.975900000001,Mouse,Id:M;X:837;Y:750;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
288,24349.499500000002,Mouse,Id:M;X:837;Y:750;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
289,24428.858899999999,Mouse,Id:M;X:837;Y:750,TestImage
290,24453.1626,Mouse,Id:M;X:841;Y:778,TestImage
291,24476.970499999999,Mouse,Id:M;X:845;Y:806,TestImage
292,24500.778699999999,Mouse,Id:M;X:849;Y:835,TestImage
293,24525.222399999999,Mouse,Id:M;X:852;Y:857,TestImage
294,24548.923699999999,Mouse,Id:M;X:855;Y:870,TestImage
295,24573.227900000002,Mouse,Id:M;X:858;Y:882,TestImage
296,24597.036400000001,Mouse,Id:M;X:863;Y:893,TestImage
297,24621.339800000002,Mouse,Id:M;X:866;Y:899,TestImage
298,24645.149399999998,Mouse,Id:M;X:872;Y:906,TestImage
299,24669.071899999999,Mouse,Id:M;X:879;Y:915,TestImage
300,24693.260300000002,Mouse,Id:M;X:885;Y:924,TestImage
301,24717.068200000002,Mouse,Id:M;X:890;Y:931,TestImage
302,24740.8802,Mouse,Id:M;X:899;Y:943,TestImage
303,24765.181,Mouse,Id:M;X:918;Y:959,TestImage
304,24788.988300000001,Mouse,Id:M;X:932;Y:974,TestImage
305,24812.796600000001,Mouse,Id:M;X:937;Y:981,TestImage
306,24837.130300000001,Mouse,Id:M;X:939;Y:988,TestImage
307,24860.907800000001,Mouse,Id:M;X:941;Y:992,TestImage
308,24885.212599999999,Mouse,Id:M;X:941;Y:993,TestImage
309,25028.846799999999,Mouse,Id:M;X:941;Y:994,TestImage
310,25053.150600000001,Mouse,Id:M;X:940;Y:994,TestImage
311,25076.989300000001,Mouse,Id:M;X:937;Y:995,TestImage
312,25117.1348,Mouse,Id:M;X:935;Y:996,TestImage
313,25140.9437,Mouse,Id:M;X:934;Y:997,TestImage
314,25284.942800000001,Mouse,Id:M;X:933;Y:998;MouseEvent:WM_LBUTTONDOWN;ScrollDelta:0;Button:0,TestImage
315,25357.359499999999,Mouse,Id:M;X:933;Y:998;MouseEvent:WM_LBUTTONUP;ScrollDelta:0;Button:0,TestImage
316,25381.166799999999,Mouse,Id:M;X:932;Y:999,TestImage
317,25405.004300000001,Mouse,Id:M;X:930;Y:999,TestImage
318,25437.2857,Mouse,Id:M;X:929;Y:1000,TestImage
319,25469.169900000001,Mouse,Id:M;X:927;Y:1001,TestImage
320,25493.122500000001,Mouse,Id:M;X:926;Y:1002,TestImage
321,25517.321499999998,Mouse,Id:M;X:925;Y:1003,TestImage
322,25541.1309,Mouse,Id:M;X:922;Y:1005,TestImage
323,25564.9391,Mouse,Id:M;X:920;Y:1006,TestImage
324,25589.269700000001,Mouse,Id:M;X:918;Y:1007,TestImage
325,26182.182100000002,Keyboard,Id:K;KeyCode:71;Key:G,TestImage
326,26261.045999999998,Mouse,Id:M;X:915;Y:1007,TestImage
327,26284.881700000002,Mouse,Id:M;X:902;Y:1005,TestImage
328,26309.162700000001,Mouse,Id:M;X:881;Y:1003,TestImage
329,26332.970499999999,Mouse,Id:M;X:843;Y:997,TestImage
330,26357.271199999999,Mouse,Id:M;X:810;Y:989,TestImage
331,26382.618200000001,Mouse,Id:M;X:780;Y:976,TestImage
332,26404.9103,Mouse,Id:M;X:756;Y:956,TestImage
333,26429.2143,Mouse,Id:M;X:734;Y:922,TestImage
334,26453.0226,Mouse,Id:M;X:702;Y:860,TestImage
335,26476.830900000001,Mouse,Id:M;X:653;Y:763,TestImage
336,26501.134099999999,Mouse,Id:M;X:611;Y:705,TestImage
337,26524.942200000001,Mouse,Id:M;X:603;Y:689,TestImage
338,26549.2461,Mouse,Id:M;X:598;Y:678,TestImage
339,26573.0851,Mouse,Id:M;X:596;Y:673,TestImage
340,26596.892100000001,Mouse,Id:M;X:596;Y:667,TestImage
341,26621.2075,Mouse,Id:M;X:596;Y:663,TestImage
342,26645.0255,Mouse,Id:M;X:599;Y:659,TestImage
343,26716.967000000001,Mouse,Id:M;X:601;Y:658,TestImage
